Date,Price
2010-01-10,330
2010-01-11,330
2010-01-12,350
2010-01-13,345
2010-01-18,325
2010-01-19,350
2010-01-20,355
2010-01-21,350
2010-01-26,345
2010-01-27,345
2010-01-28,350
2010-01-31,345
2010-02-04,345
2010-02-07,345
2010-02-08,345
2010-02-09,335
2010-02-10,330
2010-02-11,335
2010-02-14,350
2010-02-15,345
2010-02-16,350
2010-02-17,345
2010-02-18,340
2010-02-21,340
2010-02-22,345
2010-02-23,330
2010-02-24,345
2010-03-02,345
2010-03-04,340
2010-03-08,340
2010-03-14,345
2010-03-16,340
2010-03-18,345
2010-03-22,360
2010-03-29,350
2010-03-30,350
2010-03-31,345
2010-04-05,320
2010-04-07,330
2010-04-08,330
2010-04-11,310
2010-04-12,335
2010-04-13,325
2010-04-14,310
2010-04-15,325
2010-04-18,325
2010-04-19,330
2010-04-21,325
2010-04-26,325
2010-04-29,330
2010-05-03,320
2010-05-04,330
2010-05-20,330
2010-05-24,335
2010-05-25,320
2010-05-26,330
2010-05-30,335
2010-06-01,325
2010-06-02,335
2010-06-03,330
2010-06-08,330
2010-06-09,340
2010-06-13,330
2010-06-14,330
2010-06-15,320
2010-06-17,340
2010-06-20,335
2010-06-21,335
2010-06-22,330
2010-06-24,325
2010-06-27,330
2010-06-28,325
2010-06-30,315
2010-07-01,315
2010-07-04,325
2010-07-07,325
2010-07-08,320
2010-07-13,325
2010-07-14,330
2010-07-15,320
2010-07-21,320
2010-07-22,320
2010-07-25,320
2010-07-27,325
2010-07-28,325
2010-08-10,325
2010-08-11,325
2010-08-12,320
2010-08-22,315
2010-08-23,325
2010-09-01,315
2010-09-08,310
2010-09-14,295
2010-09-15,315
2010-09-16,315
2010-09-19,300
2010-09-20,325
2010-09-21,340
2010-09-27,305
2010-09-28,315
2010-09-29,315
2010-09-30,315
2010-10-03,320
2010-10-13,320
2010-10-19,310
2010-10-20,315
2010-10-24,315
2010-10-25,315
2010-10-26,315
2010-11-04,305
2010-11-08,315
2010-11-29,300
2010-11-30,295
2010-12-01,295
2010-12-06,295
2010-12-08,310
2010-12-09,300
2010-12-13,300
2010-12-19,295
2011-01-04,290
2011-01-05,285
2011-01-06,295
2011-01-08,295
2011-01-09,280
2011-01-10,275
2011-01-11,290
2011-01-12,300
2011-01-13,290
2011-01-17,285
2011-01-18,305
2011-01-20,295
2011-01-23,290
2011-01-24,300
2011-01-26,285
2011-01-27,300
2011-01-30,285
2011-01-31,290
2011-02-01,290
2011-02-02,300
2011-02-03,295
2011-02-10,290
2011-02-14,290
2011-02-15,300
2011-02-16,295
2011-02-20,300
2011-02-21,280
2011-02-22,300
2011-03-03,290
2011-03-06,290
2011-03-07,290
2011-03-13,280
2011-03-14,285
2011-03-15,290
2011-03-17,285
2011-03-21,285
2011-03-22,305
2011-04-04,295
2011-04-11,300
2011-04-20,300
2011-04-21,300
2011-04-25,280
2011-04-26,300
2011-05-01,290
2011-05-03,290
2011-05-04,280
2011-05-05,280
2011-05-08,285
2011-05-09,290
2011-05-10,285
2011-05-11,285
2011-05-12,285
2011-05-15,280
2011-05-16,280
2011-05-18,270
2011-05-22,280
2011-05-23,265
2011-05-24,265
2011-05-25,270
2011-05-26,285
2011-05-31,285
2011-06-02,270
2011-06-05,270
2011-06-06,280
2011-06-08,270
2011-06-12,275
2011-06-13,290
2011-06-15,275
2011-06-16,295
2011-06-20,275
2011-06-21,285
2011-06-22,285
2011-06-27,290
2011-07-04,285
2011-07-06,285
2011-07-11,270
2011-07-18,290
2011-07-19,285
2011-07-20,275
2011-07-21,275
2011-07-24,275
2011-07-25,285
2011-07-26,275
2011-07-27,275
2011-07-28,275
2011-08-02,280
2011-08-07,275
2011-08-08,280
2011-08-10,270
2011-08-16,270
2011-08-17,275
2011-08-18,270
2011-08-28,248
2011-09-05,244
2011-09-06,234
2011-09-07,232
2011-09-08,238
2011-09-11,236
2011-09-15,232
2011-09-18,222
2011-09-19,216
2011-09-20,208
2011-09-29,210
2011-10-02,218
2011-10-03,228
2011-10-04,238
2011-10-05,248
2011-10-06,270
2011-10-09,270
2011-10-10,270
2011-10-11,265
2011-10-12,265
2011-10-13,265
2011-10-17,265
2011-10-19,265
2011-10-20,265
2011-10-27,285
2011-10-30,270
2011-10-31,285
2011-11-03,270
2011-11-13,270
2011-11-14,260
2011-11-15,260
2011-11-17,270
2011-11-20,255
2011-11-21,248
2011-11-22,244
2011-11-23,234
2011-11-24,224
2011-11-28,226
2011-12-01,216
2011-12-04,220
2011-12-25,222
2012-01-16,212
2012-01-17,206
2012-01-18,196
2012-01-19,192
2012-01-21,192
2012-01-23,182
2012-01-24,182
2012-01-25,188
2012-01-26,188
2012-01-28,188
2012-01-29,186
2012-01-30,196
2012-01-31,206
2012-02-01,196
2012-02-04,196
2012-02-05,200
2012-02-06,194
2012-02-09,194
2012-02-11,194
2012-02-12,198
2012-02-13,192
2012-02-14,190
2012-02-15,190
2012-02-16,188
2012-02-18,188
2012-02-19,188
2012-02-20,186
2012-02-21,190
2012-02-22,186
2012-02-23,186
2012-02-25,186
2012-02-28,192
2012-02-29,194
2012-03-01,190
2012-03-03,190
2012-03-04,190
2012-03-06,190
2012-03-07,188
2012-03-08,186
2012-03-10,186
2012-03-11,188
2012-03-12,186
2012-03-13,186
2012-03-14,186
2012-03-15,186
2012-03-17,186
2012-03-18,184
2012-03-19,184
2012-03-20,184
2012-03-22,182
2012-03-24,182
2012-03-25,186
2012-03-26,182
2012-03-27,184
2012-03-29,182
2012-03-31,182
2012-04-01,184
2012-04-02,184
2012-04-03,188
2012-04-04,190
2012-04-05,188
2012-04-07,188
2012-04-08,188
2012-04-10,184
2012-09-04,194
2012-09-05,204
2012-09-06,194
2012-09-09,184
2012-09-10,184
2012-09-11,178
2012-09-12,178
2012-09-13,176
2012-09-16,174
2012-09-17,176
2012-09-18,180
2012-09-19,184
2012-09-20,186
2012-09-23,188
2012-09-24,186
2012-09-25,182
2012-09-26,178
2012-09-27,182
2012-09-30,184
2012-10-01,178
2012-10-02,184
2012-10-03,180
2012-10-04,184
2012-10-07,184
2012-10-08,184
2012-10-09,182
2012-10-10,184
2012-10-11,184
2012-10-15,182
2012-10-16,182
2012-10-17,184
2012-10-18,184
2012-10-21,178
2012-10-22,182
2012-10-23,184
2012-10-31,184
2012-11-07,180
2012-11-08,178
2012-11-11,176
2012-11-12,170
2012-11-13,174
2012-11-18,168
2012-11-19,164
2012-11-20,174
2012-11-21,180
2012-11-26,176
2012-11-27,178
2012-11-28,178
