Date,close,open,high,low,volume
2010-01-03,5.069,5.009,5.069,5.006,1.02M
2010-01-04,5.009,4.996,5.009,4.996,20.96K
2010-01-05,5.003,5.037,5.069,4.977,472.57K
2010-01-06,4.993,4.974,5.066,4.974,672.75K
2010-01-07,5.053,5.066,5.066,5.006,198.50K
2010-01-10,5.015,5.006,5.028,5.006,377.82K
2010-01-11,4.952,5.009,5.009,4.949,257.69K
2010-01-12,4.977,4.993,4.996,4.974,52.36K
2010-01-13,4.993,4.996,5.006,4.949,425.83K
2010-01-14,5.034,5.006,5.034,5.006,159.78K
2010-01-17,4.99,4.993,4.993,4.974,626.19K
2010-01-18,4.977,4.977,4.99,4.974,458.75K
2010-01-19,4.99,4.977,4.99,4.974,218.39K
2010-01-20,4.977,4.974,5.022,4.974,99.36K
2010-01-21,5.101,5.053,5.101,4.993,420.30K
2010-01-24,5.053,5.148,5.148,5.053,31.18K
2010-01-25,5.037,5.069,5.069,5.037,174.42K
2010-01-26,5.022,5.037,5.053,5.006,136.26K
2010-01-27,4.974,4.974,5.022,4.974,152.14K
2010-01-28,4.974,4.974,4.974,4.768,242.06K
2010-01-31,4.99,4.974,4.99,4.974,26.83K
2010-02-01,4.911,4.974,4.974,4.911,113.94K
2010-02-02,4.974,4.974,4.974,4.942,72.85K
2010-02-03,5.037,4.974,5.069,4.974,570.45K
2010-02-04,4.99,4.949,4.99,4.949,74.43K
2010-02-07,5.047,4.942,5.053,4.927,103.15K
2010-02-08,5.041,5.037,5.053,4.949,141.69K
2010-02-09,5.06,5.053,5.063,5.012,316.58K
2010-02-10,5.113,5.069,5.132,5.037,864.94K
2010-02-11,5.104,5.129,5.132,5.088,392.75K
2010-02-14,5.139,5.139,5.148,5.113,198.38K
2010-02-15,5.126,5.129,5.132,5.12,110.16K
2010-02-16,5.136,5.132,5.158,5.12,63.95K
2010-02-17,5.136,5.101,5.18,5.101,121.05K
2010-02-18,5.17,5.136,5.177,5.136,195.88K
2010-02-21,5.183,5.142,5.183,5.142,373.87K
2010-02-22,5.117,5.183,5.183,5.117,131.46K
2010-02-23,5.139,5.117,5.196,5.117,121.08K
2010-02-24,5.12,5.196,5.196,5.12,19.16K
2010-02-25,5.148,5.123,5.148,5.123,15.78K
2010-02-28,5.161,5.107,5.164,5.101,235.02K
2010-03-01,5.151,5.069,5.18,4.911,350.07K
2010-03-02,5.164,5.18,5.196,5.164,470.55K
2010-03-03,5.19,5.186,5.193,5.164,259.71K
2010-03-04,5.212,5.164,5.253,5.164,1.22M
2010-03-08,5.519,5.449,5.519,5.386,2.23M
2010-03-09,5.532,5.484,5.57,5.484,1.60M
2010-03-10,5.481,5.535,5.535,5.481,410.01K
