Date,close,open,high,low,volume
2012-07-29,0.33,0.33,0.34,0.33,1.08M
2012-07-30,0.33,0.33,0.33,0.33,276.48K
2012-07-31,0.33,0.34,0.34,0.33,383.31K
2012-08-01,0.33,0.33,0.33,0.33,2.36M
2012-08-02,0.35,0.34,0.35,0.34,12.28M
2012-08-05,0.35,0.35,0.35,0.34,8.21M
2012-08-06,0.35,0.35,0.35,0.34,3.20M
2012-08-07,0.35,0.34,0.36,0.34,6.37M
2012-08-09,0.35,0.35,0.35,0.34,1.68M
2012-08-12,0.34,0.34,0.35,0.34,1.12M
2012-08-13,0.35,0.35,0.35,0.35,30.85K
2012-08-14,0.35,0.35,0.35,0.34,904.50K
2012-08-15,0.35,0.35,0.35,0.35,1.91M
2012-08-16,0.34,0.34,0.35,0.34,168.48K
2012-08-22,0.35,0.35,0.36,0.34,1.18M
2012-08-23,0.35,0.34,0.35,0.34,305.00K
2012-08-26,0.35,0.35,0.36,0.34,2.66M
2012-08-27,0.35,0.35,0.35,0.34,1.31M
2012-08-28,0.34,0.34,0.34,0.34,247.43K
2012-08-29,0.34,0.34,0.35,0.34,481.80K
2012-08-30,0.34,0.34,0.34,0.34,2.96M
2012-09-02,0.34,0.35,0.35,0.34,1.02M
2012-09-03,0.35,0.34,0.35,0.34,1.78M
2012-09-04,0.34,0.34,0.35,0.34,1.22M
2012-09-05,0.35,0.34,0.35,0.34,770.44K
2012-09-06,0.35,0.34,0.35,0.34,307.47K
2012-09-09,0.35,0.35,0.35,0.34,2.94M
2012-09-10,0.35,0.35,0.35,0.34,691.38K
2012-09-11,0.35,0.35,0.35,0.34,721.22K
2012-09-12,0.36,0.35,0.36,0.35,12.13M
2012-09-13,0.35,0.35,0.36,0.35,582.45K
2012-09-16,0.36,0.35,0.36,0.35,4.38M
2012-09-17,0.35,0.35,0.35,0.35,234.03K
2012-09-18,0.35,0.35,0.35,0.34,3.10M
2012-09-19,0.36,0.35,0.36,0.35,5.28M
