Date,close,open,high,low,volume
2010-01-02,19.76,19.68,19.96,19.6,226.03K
2010-01-03,19.96,19.88,20,19.8,229.73K
2010-01-04,19.76,20,20,19.76,115.10K
2010-01-05,19.48,19.88,19.88,19.12,161.68K
2010-01-06,19.96,19.28,20.4,19.28,448.15K
2010-01-09,20.48,19.96,20.8,19.96,552.81K
2010-01-10,20.88,20.4,20.96,20.32,586.98K
2010-01-11,20.64,20.64,21.04,20.56,604.80K
2010-01-12,20.16,20.64,20.8,20.16,296.60K
2010-01-13,20.24,20.16,20.48,20,329.33K
2010-01-16,20.48,20.16,20.56,20,412.77K
2010-01-17,21.04,20.4,21.28,20.16,1.09M
2010-01-18,20.88,20.96,21.44,20.88,966.13K
2010-01-19,21.04,21.04,21.12,20.72,479.85K
2010-01-20,21.2,22,22.32,21.2,2.25M
2010-01-23,20.72,20.8,20.88,20.32,990.60K
2010-01-24,20.64,20.72,20.88,20.48,341.36K
2010-01-25,20.48,20.56,20.88,20.24,509.96K
2010-01-26,20.08,20.24,20.4,20,354.89K
2010-01-27,20,20.08,20.4,19.96,387.05K
2010-01-30,20.64,20.08,20.64,19.84,670.30K
2010-01-31,20.48,20.64,20.64,20.24,545.62K
2010-02-01,20.24,20.48,20.56,20.16,567.98K
2010-02-02,20.16,20.32,20.32,20,139.19K
2010-02-03,20,20.16,20.32,20,469.96K
2010-02-06,19.92,19.76,20.24,19.6,627.09K
2010-02-07,19.96,19.92,20.08,19.92,314.24K
2010-02-08,19.88,19.84,20,19.68,188.25K
2010-02-09,19.76,19.84,19.92,19.72,190.43K
2010-02-10,19.76,19.92,19.92,19.72,169.26K
2010-02-13,19.88,19.88,20,19.8,153.72K
2010-02-14,19.92,19.88,19.96,19.88,133.17K
2010-02-15,19.8,19.92,19.92,19.76,190.40K
2010-02-16,19.84,19.8,19.88,19.76,150.55K
2010-02-17,20.56,19.92,20.96,19.88,1.48M
2010-02-20,20.96,20.56,21.12,20.56,761.26K
2010-02-21,21.52,20.8,21.84,20.72,1.04M
2010-02-22,21.52,21.44,22,21.28,879.84K
2010-02-23,21.04,21.6,21.6,20.88,1.16M
2010-02-24,21.12,21.04,21.28,20.96,408.72K
